good_model,bad_model,round,mean_cumulative_score,mean_reward,n
gpt-4.1,no_evil_model,27,463.21505376344084,16.956989247311828,186
gpt-4.1,no_evil_model,28,481.13978494623655,17.9247311827957,186
gpt-4.1,no_evil_model,29,498.6774193548387,17.537634408602152,186
gpt-4.1,no_evil_model,30,517.010752688172,18.333333333333332,186
gpt-4o-mini,gpt-4.1,1,8.0,8.0,149
gpt-4o-mini,gpt-4.1,2,16.536912751677853,8.536912751677852,149
gpt-4o-mini,gpt-4.1,3,24.697986577181208,8.161073825503356,149
gpt-4o-mini,gpt-4.1,4,32.85906040268456,8.161073825503356,149
gpt-4o-mini,gpt-4.1,5,40.85906040268456,8.0,149
gpt-4o-mini,gpt-4.1,6,48.92617449664429,8.06711409395973,149
gpt-4o-mini,gpt-4.1,7,56.92617449664429,8.0,149
gpt-4o-mini,gpt-4.1,8,64.91275167785236,7.9865771812080535,149
gpt-4o-mini,gpt-4.1,9,72.91275167785236,8.0,149
gpt-4o-mini,gpt-4.1,10,80.8993288590604,7.9865771812080535,149
gpt-4o-mini,gpt-4.1,11,88.8993288590604,8.0,149
gpt-4o-mini,gpt-4.1,12,96.8993288590604,8.0,149
gpt-4o-mini,gpt-4.1,13,104.8993288590604,8.0,149
gpt-4o-mini,gpt-4.1,14,112.8993288590604,8.0,149
gpt-4o-mini,gpt-4.1,15,120.8993288590604,8.0,149
gpt-4o-mini,gpt-4.1,16,128.8993288590604,8.0,149
gpt-4o-mini,gpt-4.1,17,136.8993288590604,8.0,149
gpt-4o-mini,gpt-4.1,18,144.8993288590604,8.0,149
gpt-4o-mini,gpt-4.1,19,152.8993288590604,8.0,149
gpt-4o-mini,gpt-4.1,20,160.8993288590604,8.0,149
gpt-4o-mini,gpt-4.1,21,168.8993288590604,8.0,149
gpt-4o-mini,gpt-4.1,22,176.8993288590604,8.0,149
gpt-4o-mini,gpt-4.1,23,184.8993288590604,8.0,149
gpt-4o-mini,gpt-4.1,24,192.8993288590604,8.0,149
gpt-4o-mini,gpt-4.1,25,200.8993288590604,8.0,149
